read_code,read_term,QOF,cat2,cat1
XE1Y0,Single major depressive episode,Yes,Depression,comorbidities
XE1Y1,Recurrent major depressive episodes,Yes,Depression,comorbidities
XE1YC,Reactive depression,Yes,Depression,comorbidities
XE1YD,Neurasthenia,No,Depression,comorbidities
XE1Za,[X]Other depressive episodes,Yes,Depression,comorbidities
XE1Zb,"[X]Depressive episode, unspecified",Yes,Depression,comorbidities
XE1Zc,[X]Recurrent depressive disorder,No,Depression,comorbidities
XE1Zd,"[X]Recurrent depressive disorder, current episode severe without psychotic symptoms",Yes,Depression,comorbidities
XE1Ze,"[X]Recurrent depressive disorder, current episode severe with psychotic symptoms",Yes,Depression,comorbidities
XE1Zf,"[X]Recurrent depressive disorder, unspecified",Yes,Depression,comorbidities
XE1ZY,[X]Severe depressive episode without psychotic symptoms,Yes,Depression,comorbidities
XE1ZZ,[X]Severe depressive episode with psychotic symptoms,Yes,Depression,comorbidities
XE2un,"Schizoaffective disorder, depressive type",No,Depression,comorbidities
XM1GC,Endogenous depression - recurrent,Yes,Depression,comorbidities
XSEGJ,Major depressive disorder,Yes,Depression,comorbidities
XSGok,Mild major depression,Yes,Depression,comorbidities
XSGol,Moderate major depression,Yes,Depression,comorbidities
XSGom,Severe major depression without psychotic features,Yes,Depression,comorbidities
XSGon,Severe major depression with psychotic features,Yes,Depression,comorbidities
XSKr7,Cotard syndrome,Yes,Depression,comorbidities
XaLG0,Depression resolved,No,Depression,comorbidities
XaItx,Depression management programme,No,Depression,comorbidities
XaK6d,Depression annual review,No,Depression,comorbidities
XaK6e,Depression medication review,No,Depression,comorbidities
XaK6f,Depression interim review,No,Depression,comorbidities
XaJWh,On depression register,No,Depression,comorbidities
XaK9p,Depression enhanced services administration,No,Depression,comorbidities
XaKAK,Depression enhanced service completed,No,Depression,comorbidities
XaPKm,On full dose long term treatment for depression,No,Depression,comorbidities
XaMGL,Depression monitoring administration,No,Depression,comorbidities
XaMGN,Depression monitoring first letter,No,Depression,comorbidities
XaMGO,Depression monitoring second letter,No,Depression,comorbidities
XaMGP,Depression monitoring third letter,No,Depression,comorbidities
XaMGQ,Depression monitoring verbal invite,No,Depression,comorbidities
XaMGR,Depression monitoring telephone invite,No,Depression,comorbidities
E204.,Neurotic (reactive) depression,No,Depression,comorbidities
1466.,H/O: anxiety state,No,Anxiety,comorbidities
146G.,H/O: agoraphobia,No,Anxiety,comorbidities
1B1H.,Fear,No,Anxiety,comorbidities
1B1V.,C/O - panic attack,No,Anxiety,comorbidities
1Bb..,Specific fear,No,Anxiety,comorbidities
225J.,O/E - panic attack,No,Anxiety,comorbidities
225K.,O/E - fearful mood,No,Anxiety,comorbidities
285..,"Neurotic condition, insight present",No,Anxiety,comorbidities
286..,Poor insight into neurotic condition,No,Anxiety,comorbidities
8G52.,Antiphobic therapy,No,Anxiety,comorbidities
8G94.,Anxiety management training,No,Anxiety,comorbidities
8HHp.,Referral for guided self-help for anxiety,No,Anxiety,comorbidities
9N54.,Encounter for fear,No,Anxiety,comorbidities
E2000,Anxiety state unspecified,No,Anxiety,comorbidities
E2001,Panic disorder,No,Anxiety,comorbidities
E2002,Generalised anxiety disorder,No,Anxiety,comorbidities
E2003,Anxiety with depression,No,Anxiety,comorbidities
E2004,Chronic anxiety,No,Anxiety,comorbidities
E2005,Recurrent anxiety,No,Anxiety,comorbidities
E200.,Anxiety states,No,Anxiety,comorbidities
E200z,Anxiety state NOS,No,Anxiety,comorbidities
E201B,Compensation neurosis,No,Anxiety,comorbidities
E2020,Phobia unspecified,No,Anxiety,comorbidities
E2021,Agoraphobia with panic attacks,No,Anxiety,comorbidities
E2022,Agoraphobia without mention of panic attacks,No,Anxiety,comorbidities
E2023,"Social phobia, fear of eating in public",No,Anxiety,comorbidities
E2024,"Social phobia, fear of public speaking",No,Anxiety,comorbidities
E2025,"Social phobia, fear of public washing",No,Anxiety,comorbidities
E2026,Acrophobia,No,Anxiety,comorbidities
E2027,Animal phobia,No,Anxiety,comorbidities
E2028,Claustrophobia,No,Anxiety,comorbidities
E2029,Fear of crowds,No,Anxiety,comorbidities
E202A,Fear of flying,No,Anxiety,comorbidities
E202B,Cancer phobia,No,Anxiety,comorbidities
E202C,Dental phobia,No,Anxiety,comorbidities
E202D,Fear of death,No,Anxiety,comorbidities
E202.,Phobic disorders,No,Anxiety,comorbidities
E202E,Fear of pregnancy,No,Anxiety,comorbidities
E202z,Phobic disorder NOS,No,Anxiety,comorbidities
E20..,Neurotic disorders,No,Anxiety,comorbidities
E20y1,Writer's cramp neurosis,No,Anxiety,comorbidities
E20y2,Other occupational neurosis,No,Anxiety,comorbidities
E20y3,Psychasthenic neurosis,No,Anxiety,comorbidities
E20y.,Other neurotic disorders,No,Anxiety,comorbidities
E20yz,Other neurotic disorder NOS,No,Anxiety,comorbidities
E20z.,Neurotic disorder NOS,No,Anxiety,comorbidities
Eu341,[X]Depressive neurosis,No,Anxiety,comorbidities
Eu400,[X]Agoraphobia,No,Anxiety,comorbidities
Eu401,[X]Social phobias,No,Anxiety,comorbidities
Eu402,[X]Specific (isolated) phobias,No,Anxiety,comorbidities
Eu403,[X]Needle phobia,No,Anxiety,comorbidities
Eu40.,[X]Phobic anxiety disorders,No,Anxiety,comorbidities
Eu40y,[X]Other phobic anxiety disorders,No,Anxiety,comorbidities
Eu40z,"[X]Phobic anxiety disorder, unspecified",No,Anxiety,comorbidities
Eu410,[X]Panic disorder [episodic paroxysmal anxiety],No,Anxiety,comorbidities
Eu411,[X]Generalized anxiety disorder,No,Anxiety,comorbidities
Eu412,[X]Mixed anxiety and depressive disorder,No,Anxiety,comorbidities
Eu413,[X]Other mixed anxiety disorders,No,Anxiety,comorbidities
Eu41.,[X]Other anxiety disorders,No,Anxiety,comorbidities
Eu41y,[X]Other specified anxiety disorders,No,Anxiety,comorbidities
Eu41z,"[X]Anxiety disorder, unspecified",No,Anxiety,comorbidities
Z481.,Phobia counselling,No,Anxiety,comorbidities
Z4L1.,Anxiety counselling,No,Anxiety,comorbidities
ZV112,[V]Personal history of neurosis,No,Anxiety,comorbidities
13WB.,Maternal: [concern] or [anxiety],No,Anxiety,comorbidities
1B1..,General nervous symptoms,No,Anxiety,comorbidities
1B11.,No nervous symptoms,No,Anxiety,comorbidities
1B12.,"[""Nerves""] or [nervousness] or [nervous tension]",No,Anxiety,comorbidities
1B13.,Anxiousness (& symptom),No,Anxiety,comorbidities
1B1Z.,General nervous symptom NOS,No,Anxiety,comorbidities
E2920,Separation anxiety disorder,No,Anxiety,comorbidities
Eu515,[X] Nightmares or dream anxiety disorder,No,Anxiety,comorbidities
Eu930,[X]Separation anxiety disorder of childhood,No,Anxiety,comorbidities
Ua1Fo,Recognising anxiety (InPS+developmental),No,Anxiety,comorbidities
Ua1Fp,Acknowledging anxiety,No,Anxiety,comorbidities
Ua1qS,Panic attack,No,Anxiety,comorbidities
Ua1qU,Fear of walking,No,Anxiety,comorbidities
Ua1qV,Fear of mobilising,No,Anxiety,comorbidities
Ua1qW,Fear of disconnection from ventilator,No,Anxiety,comorbidities
Ua1qX,Fear of being left alone during period of dependence,No,Anxiety,comorbidities
Ua1qY,Fear of being left alone,No,Anxiety,comorbidities
Ua1qa,Fear of dentist,No,Anxiety,comorbidities
Ua1qc,Fear of not coping with treatment,No,Anxiety,comorbidities
Ua1qd,Fear of lifts,No,Anxiety,comorbidities
Ua1qe,Fear of thunderstorm,No,Anxiety,comorbidities
Ua1qf,Terrified,No,Anxiety,comorbidities
Ua1qg,Anxiety about treatment,No,Anxiety,comorbidities
Ua1qh,Anxiety about forced dependence,No,Anxiety,comorbidities
Ua1qi,Anxiety about loss of control,No,Anxiety,comorbidities
Ua1qj,Anxiety about resuming sexual relations,No,Anxiety,comorbidities
Ua1qk,Worried about not coping with baby,No,Anxiety,comorbidities
Ua1ql,Worried about being a bad father,No,Anxiety,comorbidities
Ua1qm,Worried about being a bad mother,No,Anxiety,comorbidities
Ua1qn,Anxiety about not coping with parenthood,No,Anxiety,comorbidities
Ua1qo,Anxiety about making mistakes,No,Anxiety,comorbidities
Ua1qp,Anxiety about altered body image,No,Anxiety,comorbidities
Ua1qs,Fear of wetting self in public,No,Anxiety,comorbidities
Ua1qt,Fear of losing control of bowels in public,No,Anxiety,comorbidities
Ua2Dl,Alleviating anxiety,No,Anxiety,comorbidities
Ub0qs,Anxiety management training,No,Anxiety,comorbidities
X00RP,Organic anxiety disorder,No,Anxiety,comorbidities
X00SV,Agoraphobia,No,Anxiety,comorbidities
X00SW,Social phobia,No,Anxiety,comorbidities
X00SX,Specific phobia,No,Anxiety,comorbidities
X00SY,Needle phobia,No,Anxiety,comorbidities
X00SZ,Situational panic attack,No,Anxiety,comorbidities
X00Sa,Non-situational panic attack,No,Anxiety,comorbidities
X00Sb,Mixed anxiety and depressive disorder,No,Anxiety,comorbidities
X00Sc,Anxiety hysteria,No,Anxiety,comorbidities
X00Sd,Stage fright,No,Anxiety,comorbidities
X00Se,Examination fear,No,Anxiety,comorbidities
X761N,Anxiety and fear,No,Anxiety,comorbidities
X761P,Ill-at-ease,No,Anxiety,comorbidities
X761T,Anxiety about body function or health,No,Anxiety,comorbidities
X761U,Fear of losing control of bowels,No,Anxiety,comorbidities
X761V,Fear of wetting self,No,Anxiety,comorbidities
X761W,Fear of vomiting in public,No,Anxiety,comorbidities
X761X,Fear of having a fit,No,Anxiety,comorbidities
X761Y,Fear of choking,No,Anxiety,comorbidities
X761Z,Anxiety about blushing,No,Anxiety,comorbidities
X761a,Fear of swallowing,No,Anxiety,comorbidities
X761b,Fear of collapsing,No,Anxiety,comorbidities
X761c,Fear of fainting,No,Anxiety,comorbidities
X761d,Fear of having a heart attack,No,Anxiety,comorbidities
X761e,Fear of shaking,No,Anxiety,comorbidities
X761f,Fear of sweating,No,Anxiety,comorbidities
X761g,Fear of dying,No,Anxiety,comorbidities
X761h,Fear of going crazy,No,Anxiety,comorbidities
X761i,Fear of losing emotional control,No,Anxiety,comorbidities
X761j,Fear of becoming fat,No,Anxiety,comorbidities
X761k,Anxiety about behaviour or performance,No,Anxiety,comorbidities
X761l,Fear of appearing ridiculous,No,Anxiety,comorbidities
X761m,Fear of saying the wrong thing,No,Anxiety,comorbidities
X761n,Fear of going out,No,Anxiety,comorbidities
X761p,Fear of empty streets,No,Anxiety,comorbidities
X761q,Fear of open spaces,No,Anxiety,comorbidities
X761r,Fear of crossing streets,No,Anxiety,comorbidities
X761t,Fear of transport,No,Anxiety,comorbidities
X761u,Social fear,No,Anxiety,comorbidities
X761v,Fear of activities in public,No,Anxiety,comorbidities
X761w,Fear of eating in public,No,Anxiety,comorbidities
X761x,Fear of public speaking,No,Anxiety,comorbidities
X761y,Fear of using public toilets,No,Anxiety,comorbidities
X761z,Fear of writing in public,No,Anxiety,comorbidities
X7620,Fear of social group activities,No,Anxiety,comorbidities
X7621,Fear of being in a small group,No,Anxiety,comorbidities
X7622,Fear of social gatherings,No,Anxiety,comorbidities
X7623,Fear of speaking on the phone,No,Anxiety,comorbidities
X7624,Fear of speaking to people in authority,No,Anxiety,comorbidities
X7625,Fear of being laughed at,No,Anxiety,comorbidities
X7626,Fear of being watched,No,Anxiety,comorbidities
X7627,Specific fear,No,Anxiety,comorbidities
X7628,Fear of natural phenomena,No,Anxiety,comorbidities
X7629,Fear of the dark,No,Anxiety,comorbidities
X762A,Fear of animals,No,Anxiety,comorbidities
X762B,Fear of feathers,No,Anxiety,comorbidities
X762C,Fear of enclosed spaces,No,Anxiety,comorbidities
X762E,Fear of tunnels,No,Anxiety,comorbidities
X762F,Fear of phone boxes,No,Anxiety,comorbidities
X762G,Fear of flying,No,Anxiety,comorbidities
X762H,Flying phobia,No,Anxiety,comorbidities
X762I,Fear associated with illness and body function,No,Anxiety,comorbidities
X762J,Fear of anaesthetic,No,Anxiety,comorbidities
X762K,Fear of general anaesthetic,No,Anxiety,comorbidities
X762L,Fear of awareness under general anaesthetic,No,Anxiety,comorbidities
X762M,Fear of not waking from general anaesthetic,No,Anxiety,comorbidities
X762N,Fear of local anaesthetic,No,Anxiety,comorbidities
X762O,Fear of problem after anaesthetic,No,Anxiety,comorbidities
X762R,Fear of surgical masks,No,Anxiety,comorbidities
X762S,Fear of hospitals,No,Anxiety,comorbidities
X762T,Fear of death,No,Anxiety,comorbidities
X762U,Fear of contracting disease,No,Anxiety,comorbidities
X762V,Fear of infection,No,Anxiety,comorbidities
X762W,Fear of contracting venereal disease,No,Anxiety,comorbidities
X762X,Fear of contracting HIV infection,No,Anxiety,comorbidities
X762Y,Fear of contracting radiation sickness,No,Anxiety,comorbidities
X762Z,Fear of the bogey man,No,Anxiety,comorbidities
X762a,Fear of ghosts,No,Anxiety,comorbidities
X762b,Fear of school,No,Anxiety,comorbidities
X78wp,Apprehension,No,Anxiety,comorbidities
XE0ra,Nervousness,No,Anxiety,comorbidities
XE0rb,Feeling anxious,No,Anxiety,comorbidities
XE0ri,Fear,No,Anxiety,comorbidities
XE1Y7,Panic disorder,No,Anxiety,comorbidities
XE1YA,Phobic anxiety disorder,No,Anxiety,comorbidities
XE1YB,Phobic disorder NOS,No,Anxiety,comorbidities
XE1Zj,[X]Other specified anxiety disorders,No,Anxiety,comorbidities
XE1aW,(Anxiety state (& [states][panic attack])) or (pseudocyesis),No,Anxiety,comorbidities
XE2Po,Maternal concern,No,Anxiety,comorbidities
XM00G,Separation anxiety,No,Anxiety,comorbidities
XM0Ak,School phobia,No,Anxiety,comorbidities
XM1OD,Hydrophobia,No,Anxiety,comorbidities
Xa00r,Fear of heights,No,Anxiety,comorbidities
Xa00s,Fear of water,No,Anxiety,comorbidities
Xa0XB,Fear relating to body function,No,Anxiety,comorbidities
Xa0XG,Anxiety about losing control of bowels,No,Anxiety,comorbidities
Xa0XH,Anxiety about wetting self,No,Anxiety,comorbidities
Xa0XI,Anxiety about vomiting in public,No,Anxiety,comorbidities
Xa0XJ,Anxiety about having a fit,No,Anxiety,comorbidities
Xa0XK,Anxiety about choking,No,Anxiety,comorbidities
Xa0XM,Anxiety about swallowing,No,Anxiety,comorbidities
Xa0XN,Anxiety about collapsing,No,Anxiety,comorbidities
Xa0XO,Anxiety about shaking,No,Anxiety,comorbidities
Xa0XP,Anxiety about sweating,No,Anxiety,comorbidities
Xa0XQ,Anxiety about dying,No,Anxiety,comorbidities
Xa0XR,Anxiety about going crazy,No,Anxiety,comorbidities
Xa0XS,Anxiety about losing emotional control,No,Anxiety,comorbidities
Xa0XU,Anxiety about becoming fat,No,Anxiety,comorbidities
Xa0XX,Anxiety about fainting,No,Anxiety,comorbidities
Xa0XY,Anxiety about having a heart attack,No,Anxiety,comorbidities
Xa0Xc,Anxiety about appearing ridiculous,No,Anxiety,comorbidities
Xa0Xd,Anxiety about saying the wrong thing,No,Anxiety,comorbidities
Xa19B,Performance anxiety,No,Anxiety,comorbidities
Xa1Ev,Fear of needles,No,Anxiety,comorbidities
Xa1a8,Examination phobia,No,Anxiety,comorbidities
Xa3Vj,Panic,No,Anxiety,comorbidities
Xa3Vk,Fear of insects,No,Anxiety,comorbidities
Xa3Vl,Fear of birds,No,Anxiety,comorbidities
Xa3WH,Fear associated with healthcare,No,Anxiety,comorbidities
Xa3WI,Fear of blood,No,Anxiety,comorbidities
Xa3WJ,Fear of getting cancer,No,Anxiety,comorbidities
Xa3Xk,Level of anxiety,No,Anxiety,comorbidities
Xa3Ys,Character trait observations of level of anxiety,No,Anxiety,comorbidities
Xa3Yt,Anxious character,No,Anxiety,comorbidities
Xa3Yu,Over-anxious character,No,Anxiety,comorbidities
Xa3Yv,Fearful character,No,Anxiety,comorbidities
Xa7k9,Parental anxiety,No,Anxiety,comorbidities
Xa7kB,Anxiety attack,No,Anxiety,comorbidities
Xa7lj,Cancer phobia,No,Anxiety,comorbidities
Xa7lx,Pre-examination nerves,No,Anxiety,comorbidities
XaABU,Castration anxiety complex,No,Anxiety,comorbidities
XaB96,Other phobias,No,Anxiety,comorbidities
XaECG,Anxiety counselling,No,Anxiety,comorbidities
XaEG0,Dysmorphophobia,No,Anxiety,comorbidities
XaIvf,Fear of falling,No,Anxiety,comorbidities
XaL0q,Referral for guided self-help for anxiety,No,Anxiety,comorbidities
XaMFU,Paruresis,No,Anxiety,comorbidities
XaP8d,Stranger anxiety,No,Anxiety,comorbidities
XaXwe,Health anxiety inventory short week score,No,Anxiety,comorbidities
Xaafv,Anxiety about breathlessness,No,Anxiety,comorbidities
Xab9G,Patient given advice about management of anxiety,No,Anxiety,comorbidities
Xaef0,Referral for psychological management of anxiety,No,Anxiety,comorbidities
XafF0,Signposting to Anxiety UK,No,Anxiety,comorbidities
Y00ef,Food phobia,No,Anxiety,comorbidities
Y0a86,Social situations due to a fear of being embarrassed or making a fool of myself,No,Anxiety,comorbidities
Y0a87,Certain situations because of a fear of having a panic attack or other distressing symptoms,No,Anxiety,comorbidities
Y0a88,Certain situations because of a fear of particular objects or activities,No,Anxiety,comorbidities
Y10e3,NDTMS - YP anxiety status,No,Anxiety,comorbidities
Y1b16,IPS Anxiety/Depression level,No,Anxiety,comorbidities
Y5448,Anxiety with depression,No,Anxiety,comorbidities
173f.,Anxiety about breathlessness,No,Anxiety,comorbidities
XaK2c,H/O: agoraphobia,No,Anxiety,comorbidities
XaIo7,C/O - panic attack,No,Anxiety,comorbidities
XaKVA,O/E - panic attack,No,Anxiety,comorbidities
XaKVN,O/E - fearful mood,No,Anxiety,comorbidities
XE1hk,"Neurotic condition, insight present",No,Anxiety,comorbidities
XE1hl,Poor insight into neurotic condition,No,Anxiety,comorbidities
XE1YE,Neurotic disorder NOS,No,Anxiety,comorbidities
E2749,Nightmares,No,Anxiety,comorbidities
1Bb1.,Fear of getting cancer,No,Anxiety,comorbidities
8T23.,Refer fr psychl mgt of anxiety,No,Anxiety,comorbidities
Eu054,[X]Organic anxiety disorder,No,Anxiety,comorbidities
1Bb0.,Fear of falling,No,Anxiety,comorbidities
8CAZ0,Patient given advice about management of anxiety,No,Anxiety,comorbidities
14B3.,History of chronic obstructive pulmonary disease,No,COPD,comorbidities
H3...,Chronic obstructive pulmonary disease,Yes,COPD,comorbidities
H31..,Chronic bronchitis,Yes,COPD,comorbidities
H310.,Simple chronic bronchitis,Yes,COPD,comorbidities
H3100,Chronic catarrhal bronchitis,Yes,COPD,comorbidities
H310z,Simple chronic bronchitis NOS,Yes,COPD,comorbidities
H311.,Mucopurulent chronic bronchitis,Yes,COPD,comorbidities
H3110,Purulent chronic bronchitis,Yes,COPD,comorbidities
H3111,Fetid chronic bronchitis,Yes,COPD,comorbidities
H311z,Mucopurulent chronic bronchitis NOS,Yes,COPD,comorbidities
H312.,Obstructive chronic bronchitis,Yes,COPD,comorbidities
H3120,Chronic asthmatic bronchitis,Yes,COPD,comorbidities
H3121,Emphysematous bronchitis,Yes,COPD,comorbidities
H3122,Acute exacerbation of chronic obstructive airways disease,No,COPD,comorbidities
H3123,Bronchiolitis obliterans,Yes,COPD,comorbidities
H312z,Obstructive chronic bronchitis NOS,Yes,COPD,comorbidities
H313.,Mixed simple and mucopurulent chronic bronchitis,Yes,COPD,comorbidities
H31y.,Other chronic bronchitis,Yes,COPD,comorbidities
H31y1,Chronic tracheobronchitis,Yes,COPD,comorbidities
H31yz,Other chronic bronchitis NOS,Yes,COPD,comorbidities
H31z.,Chronic bronchitis NOS,Yes,COPD,comorbidities
H32..,Emphysema,Yes,COPD,comorbidities
H320.,Chronic bullous emphysema,Yes,COPD,comorbidities
H3200,Segmental bullous emphysema,Yes,COPD,comorbidities
H3201,Zonal bullous emphysema,Yes,COPD,comorbidities
H3202,Giant bullous emphysema,Yes,COPD,comorbidities
H3203,Bullous emphysema with collapse,Yes,COPD,comorbidities
H320z,Chronic bullous emphysema NOS,Yes,COPD,comorbidities
H321.,Panlobular emphysema,Yes,COPD,comorbidities
H322.,Centrilobular emphysema,Yes,COPD,comorbidities
H32y.,Other emphysema,Yes,COPD,comorbidities
H32y0,Acute vesicular emphysema,Yes,COPD,comorbidities
H32y1,Atrophic (senile) emphysema,Yes,COPD,comorbidities
H32y2,MacLeod's unilateral emphysema,Yes,COPD,comorbidities
H32yz,Other emphysema NOS,Yes,COPD,comorbidities
H32z.,Emphysema NOS,Yes,COPD,comorbidities
H36..,Mild chronic obstructive pulmonary disease,Yes,COPD,comorbidities
H37..,Moderate chronic obstructive pulmonary disease,Yes,COPD,comorbidities
H38..,Severe chronic obstructive pulmonary disease,Yes,COPD,comorbidities
H39..,Very severe chronic obstructive pulmonary disease,Yes,COPD,comorbidities
H3A..,End stage chronic obstructive airways disease,Yes,COPD,comorbidities
H3B..,Asthma-chronic obstructive pulmonary disease overlap syndrome,Yes,COPD,comorbidities
H3y..,Other specified chronic obstructive airways disease,Yes,COPD,comorbidities
H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn,No,COPD,comorbidities
H3y1.,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",No,COPD,comorbidities
H3z..,Chronic obstructive airways disease NOS,Yes,COPD,comorbidities
H4640,Chronic emphysema due to chemical fumes,Yes,COPD,comorbidities
